index,Season,sqrt_distance,outcome,Seed,TeamID,Year,Score,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,WPF,RegularSeasonW,RegularSeasonL
1,2003,0.428695072,L,10,1104,2003,69.28571429,24.03571429,43.78571429,26.03571429,14.71428571,16.92857143,18.82142857,15.46428571,21.39285714,16.39285714,11.53571429,9.75,4.75,11.25,NA,NA
2,2003,0.390917664,L,7,1272,2003,74.51724138,26.27586207,52.27586207,18.5862069,17.10344828,15.5862069,21,16.44827586,24.27586207,18.79310345,13.82758621,8.620689655,5.379310345,15.20689655,NA,NA
3,2003,0.571845775,L,3,1266,2003,78.39285714,27.21428571,49.82142857,15.75,13.21428571,18.71428571,23.17857143,13.85714286,22.32142857,17.78571429,13.39285714,8.142857143,3.714285714,15.28571429,NA,NA
4,2003,0.42659304,W,3,1266,2003,78.39285714,27.21428571,49.82142857,15.75,13.21428571,18.71428571,23.17857143,13.85714286,22.32142857,17.78571429,13.39285714,8.142857143,3.714285714,15.28571429,NA,NA
5,2003,0.641487484,W,3,1266,2003,78.39285714,27.21428571,49.82142857,15.75,13.21428571,18.71428571,23.17857143,13.85714286,22.32142857,17.78571429,13.39285714,8.142857143,3.714285714,15.28571429,NA,NA
6,2003,0.405958418,L,1,1400,2003,78.85714286,28,54.10714286,18.67857143,14.32142857,17.21428571,22.39285714,17.92857143,24.35714286,16.67857143,13.78571429,8.142857143,3.928571429,15.71428571,NA,NA
7,2003,0.525612479,W,1,1400,2003,78.85714286,28,54.10714286,18.67857143,14.32142857,17.21428571,22.39285714,17.92857143,24.35714286,16.67857143,13.78571429,8.142857143,3.928571429,15.71428571,NA,NA
8,2003,0.614123296,W,1,1400,2003,78.85714286,28,54.10714286,18.67857143,14.32142857,17.21428571,22.39285714,17.92857143,24.35714286,16.67857143,13.78571429,8.142857143,3.928571429,15.71428571,NA,NA
9,2003,0.727574575,W,5,1458,2003,70.72413793,25.03448276,45.93103448,18.10344828,14.17241379,16.27586207,17.89655172,12.31034483,20,15.27586207,10.65517241,8.344827586,3.862068966,11.03448276,NA,NA
10,2003,0.646759648,L,5,1458,2003,70.72413793,25.03448276,45.93103448,18.10344828,14.17241379,16.27586207,17.89655172,12.31034483,20,15.27586207,10.65517241,8.344827586,3.862068966,11.03448276,NA,NA
11,2003,0.380822753,L,14,1161,2003,74,26.4,40.53333333,24.73333333,7.8,17.4,21.63333333,14.26666667,19.1,18.66666667,14.36666667,10.76666667,4.6,12.5,NA,NA
12,2003,0.546481134,L,6,1166,2003,79.24242424,28.6969697,53.51515152,14.06060606,18.87878788,14.96969697,19.54545455,11.3030303,22.33333333,17.75757576,13.03030303,9.363636364,4.878787879,15.3030303,NA,NA
13,2003,0.392193092,L,16,1237,2003,71.25,24.4375,40.4375,26.78125,13.71875,17,19.59375,15.46875,18.0625,17.40625,12.75,12.59375,4,11.1875,NA,NA
14,2003,0.818776847,L,5,1323,2003,80.09677419,27.22580645,49.77419355,24.29032258,17.29032258,19.64516129,21.06451613,13.96774194,24.38709677,18.74193548,13.74193548,9.258064516,6.193548387,12.25806452,NA,NA
15,2003,0.212475469,W,5,1323,2003,80.09677419,27.22580645,49.77419355,24.29032258,17.29032258,19.64516129,21.06451613,13.96774194,24.38709677,18.74193548,13.74193548,9.258064516,6.193548387,12.25806452,NA,NA
16,2003,0.539676291,L,4,1390,2003,72.25806452,25.64516129,48.74193548,20.74193548,15.4516129,15.77419355,18.93548387,14.96774194,23.38709677,17.51612903,13.58064516,8.290322581,3.709677419,13.96774194,NA,NA
17,2003,0.539676291,W,4,1390,2003,72.25806452,25.64516129,48.74193548,20.74193548,15.4516129,15.77419355,18.93548387,14.96774194,23.38709677,17.51612903,13.58064516,8.290322581,3.709677419,13.96774194,NA,NA
18,2003,0.192757395,L,3,1462,2003,78.23333333,26.8,53.23333333,14.76666667,15.4,19.8,23.3,14.6,23.7,18.53333333,12.2,7.5,3.633333333,12.96666667,NA,NA
19,2003,0.192757395,W,3,1462,2003,78.23333333,26.8,53.23333333,14.76666667,15.4,19.8,23.3,14.6,23.7,18.53333333,12.2,7.5,3.633333333,12.96666667,NA,NA
20,2003,0.626680721,L,2,1196,2003,75.90322581,26.93548387,49.80645161,19.12903226,19.16129032,15.48387097,17.83870968,12.16129032,21.38709677,18.5483871,13,9.806451613,4.612903226,13.80645161,NA,NA
21,2003,0.626680721,W,2,1196,2003,75.90322581,26.93548387,49.80645161,19.12903226,19.16129032,15.48387097,17.83870968,12.16129032,21.38709677,18.5483871,13,9.806451613,4.612903226,13.80645161,NA,NA
22,2003,0.530718386,L,2,1242,2003,81.33333333,30.23333333,53.26666667,18.43333333,11.53333333,16.1,22.23333333,16.1,24.73333333,19.7,14,12.3,5.633333333,13,NA,NA
23,2003,0.318556472,W,2,1242,2003,81.33333333,30.23333333,53.26666667,18.43333333,11.53333333,16.1,22.23333333,16.1,24.73333333,19.7,14,12.3,5.633333333,13,NA,NA
24,2003,0.711191288,W,2,1242,2003,81.33333333,30.23333333,53.26666667,18.43333333,11.53333333,16.1,22.23333333,16.1,24.73333333,19.7,14,12.3,5.633333333,13,NA,NA
25,2003,0.530718386,W,2,1242,2003,81.33333333,30.23333333,53.26666667,18.43333333,11.53333333,16.1,22.23333333,16.1,24.73333333,19.7,14,12.3,5.633333333,13,NA,NA
26,2003,0.552660366,L,10,1113,2003,75.96551724,27.20689655,43.89655172,24.37931034,8.655172414,17.55172414,23.17241379,17.44827586,20.65517241,18.17241379,13.65517241,8.931034483,4.965517241,12.37931034,NA,NA
27,2003,0.552660366,W,10,1113,2003,75.96551724,27.20689655,43.89655172,24.37931034,8.655172414,17.55172414,23.17241379,17.44827586,20.65517241,18.17241379,13.65517241,8.931034483,4.965517241,12.37931034,NA,NA
28,2003,0.597805282,L,10,1120,2003,70.1,25.7,43,23.66666667,11.6,16.43333333,17.96666667,12.86666667,20.06666667,16.46666667,13.43333333,11.76666667,6.033333333,11.66666667,NA,NA
29,2003,0.373941441,W,10,1120,2003,70.1,25.7,43,23.66666667,11.6,16.43333333,17.96666667,12.86666667,20.06666667,16.46666667,13.43333333,11.76666667,6.033333333,11.66666667,NA,NA
30,2003,0.27804178,L,13,1122,2003,69.7037037,23.55555556,42.96296296,18.77777778,13.51851852,18.81481481,22.59259259,12.37037037,21.55555556,15.92592593,14,9.444444444,5.296296296,14.62962963,NA,NA
31,2003,0.503086756,L,12,1139,2003,68.5862069,24.06896552,45.4137931,16.20689655,19.27586207,14.48275862,15.68965517,8.724137931,18.68965517,14.44827586,9.620689655,7.586206897,2.793103448,12.62068966,NA,NA
32,2003,0.394731585,W,12,1139,2003,68.5862069,24.06896552,45.4137931,16.20689655,19.27586207,14.48275862,15.68965517,8.724137931,18.68965517,14.44827586,9.620689655,7.586206897,2.793103448,12.62068966,NA,NA
33,2003,0.495686548,L,12,1140,2003,72.4516129,24.03225806,43.06451613,18.74193548,12.93548387,18.12903226,22.48387097,13.90322581,21.83870968,16.4516129,12.35483871,9.548387097,3.451612903,15.83870968,NA,NA
34,2003,0.725925367,L,11,1141,2003,79.34482759,26.62068966,46.20689655,16.65517241,15.10344828,19.96551724,23.82758621,12.68965517,21.48275862,17.55172414,16.72413793,9.689655172,4.620689655,16.51724138,NA,NA
35,2003,0.725925367,W,11,1141,2003,79.34482759,26.62068966,46.20689655,16.65517241,15.10344828,19.96551724,23.82758621,12.68965517,21.48275862,17.55172414,16.72413793,9.689655172,4.620689655,16.51724138,NA,NA
36,2003,0.798895562,L,10,1160,2003,75.51612903,27.19354839,47,26.4516129,11.16129032,17.09677419,21.06451613,16.48387097,24.06451613,19.29032258,12.61290323,8.870967742,6.774193548,13.09677419,NA,NA
37,2003,0.481997111,L,9,1211,2003,77.06451613,26.06451613,47.35483871,19.74193548,15.67741935,18.51612903,23.09677419,15.12903226,22.25806452,17.83870968,14.74193548,8.935483871,3.935483871,14.51612903,NA,NA
38,2003,0.481997111,W,9,1211,2003,77.06451613,26.06451613,47.35483871,19.74193548,15.67741935,18.51612903,23.09677419,15.12903226,22.25806452,17.83870968,14.74193548,8.935483871,3.935483871,14.51612903,NA,NA
39,2003,0.434710515,L,8,1261,2003,73.22580645,26.80645161,44.22580645,23.22580645,13.25806452,15.80645161,17.70967742,12.64516129,20.90322581,19.51612903,13.09677419,10.19354839,5.35483871,11.5483871,NA,NA
40,2003,0.451171512,L,7,1277,2003,67.22580645,23.03225806,38.80645161,23.16129032,9.225806452,17.22580645,19.80645161,13.90322581,19.61290323,17.77419355,13.58064516,10.41935484,4.483870968,12.74193548,NA,NA
41,2003,0.497697455,W,7,1277,2003,67.22580645,23.03225806,38.80645161,23.16129032,9.225806452,17.22580645,19.80645161,13.90322581,19.61290323,17.77419355,13.58064516,10.41935484,4.483870968,12.74193548,NA,NA
42,2003,0.451171512,W,7,1277,2003,67.22580645,23.03225806,38.80645161,23.16129032,9.225806452,17.22580645,19.80645161,13.90322581,19.61290323,17.77419355,13.58064516,10.41935484,4.483870968,12.74193548,NA,NA
43,2003,0.372067036,L,6,1281,2003,71.77419355,26.16129032,47.77419355,24.32258065,16.19354839,15.74193548,16.22580645,14.25806452,22.77419355,17.80645161,12.16129032,9.032258065,4.677419355,12.09677419,NA,NA
44,2003,0.372067036,W,6,1281,2003,71.77419355,26.16129032,47.77419355,24.32258065,16.19354839,15.74193548,16.22580645,14.25806452,22.77419355,17.80645161,12.16129032,9.032258065,4.677419355,12.09677419,NA,NA
45,2003,0.624925085,L,9,1301,2003,72.4,24.33333333,40.36666667,27.26666667,16.1,19.56666667,18.83333333,12.36666667,18.3,17.93333333,12.96666667,11,4.8,11.1,NA,NA
46,2003,0.703566623,L,1,1328,2003,71.16666667,25.26666667,49.53333333,17.36666667,16.56666667,14.4,17.53333333,12.76666667,23.13333333,16.8,11.16666667,8.266666667,4.233333333,15.43333333,NA,NA
47,2003,0.08241268,W,1,1328,2003,71.16666667,25.26666667,49.53333333,17.36666667,16.56666667,14.4,17.53333333,12.76666667,23.13333333,16.8,11.16666667,8.266666667,4.233333333,15.43333333,NA,NA
48,2003,0.703566623,W,1,1328,2003,71.16666667,25.26666667,49.53333333,17.36666667,16.56666667,14.4,17.53333333,12.76666667,23.13333333,16.8,11.16666667,8.266666667,4.233333333,15.43333333,NA,NA
